x_1,y_1,width_1,height_1,filepath_1,subject_name_1,x_2,y_2,width_2,height_2,filepath_2,subject_name_2,label,gender_1,gender_2,skin_tone_1,skin_tone_2
162,142,130,130,/dataset/YouTubeFaces/frame_images_DB/Sadie_Frost/1/1.306.jpg,Sadie_Frost,162,51,53,53,/dataset/YouTubeFaces/frame_images_DB/Sadie_Frost/5/5.388.jpg,Sadie_Frost,1,F,F,#6F503C,#BEA07E
174,90,62,62,/dataset/YouTubeFaces/frame_images_DB/Saied_Hadi_al_Mudarissi/0/0.2319.jpg,Saied_Hadi_al_Mudarissi,169,88,58,58,/dataset/YouTubeFaces/frame_images_DB/Saied_Hadi_al_Mudarissi/2/2.75.jpg,Saied_Hadi_al_Mudarissi,1,M,M,#E7C1B8,#9D7A54
268,216,94,94,/dataset/YouTubeFaces/frame_images_DB/Lucio_Stanca/3/3.10.jpg,Lucio_Stanca,179,89,58,58,/dataset/YouTubeFaces/frame_images_DB/Lucio_Stanca/4/4.170.jpg,Lucio_Stanca,1,M,M,#81654F,#81654F
234,101,126,126,/dataset/YouTubeFaces/frame_images_DB/Mary_Carey/0/0.1816.jpg,Mary_Carey,160,124,164,164,/dataset/YouTubeFaces/frame_images_DB/Mary_Carey/4/4.133.jpg,Mary_Carey,1,F,F,#BEA07E,#9D7A54
246,141,112,112,/dataset/YouTubeFaces/frame_images_DB/Liu_Ye/0/0.781.jpg,Liu_Ye,143,97,80,80,/dataset/YouTubeFaces/frame_images_DB/Liu_Ye/5/5.3907.jpg,Liu_Ye,1,M,M,#81654F,#6F503C
211,95,79,79,/dataset/YouTubeFaces/frame_images_DB/Emma_Watson/2/2.1637.jpg,Emma_Watson,203,97,71,71,/dataset/YouTubeFaces/frame_images_DB/Emma_Watson/4/4.698.jpg,Emma_Watson,1,F,F,#81654F,#9D7A54
198,96,36,36,/dataset/YouTubeFaces/frame_images_DB/Karen_Lynn_Gorney/0/0.2303.jpg,Karen_Lynn_Gorney,146,106,163,163,/dataset/YouTubeFaces/frame_images_DB/Karen_Lynn_Gorney/5/5.1187.jpg,Karen_Lynn_Gorney,1,F,F,#6F503C,#81654F
262,114,92,92,/dataset/YouTubeFaces/frame_images_DB/Philippe_Gagnon/1/1.1280.jpg,Philippe_Gagnon,170,73,52,52,/dataset/YouTubeFaces/frame_images_DB/Philippe_Gagnon/2/2.3980.jpg,Philippe_Gagnon,1,M,M,#6F503C,#81654F
154,135,107,107,/dataset/YouTubeFaces/frame_images_DB/Lena_Katina/2/2.335.jpg,Lena_Katina,296,137,105,105,/dataset/YouTubeFaces/frame_images_DB/Lena_Katina/4/4.2350.jpg,Lena_Katina,1,F,F,#81654F,#81654F
216,161,48,48,/dataset/YouTubeFaces/frame_images_DB/Robert_Ehrlich/1/1.81.jpg,Robert_Ehrlich,169,87,102,102,/dataset/YouTubeFaces/frame_images_DB/Robert_Ehrlich/5/5.1569.jpg,Robert_Ehrlich,1,M,M,#BEA07E,#E5C8A6
