x_1,y_1,width_1,height_1,filepath_1,subject_name_1,x_2,y_2,width_2,height_2,filepath_2,subject_name_2,label,gender_1,gender_2,skin_tone_1,skin_tone_2,nb_women
234,126,192,192,/dataset/YouTubeFaces/frame_images_DB/Katalin_Kollat/2/2.790.jpg,Katalin_Kollat,240,167,142,142,/dataset/YouTubeFaces/frame_images_DB/Katalin_Kollat/4/4.1562.jpg,Katalin_Kollat,1,F,F,#6F503C,#6F503C,2
214,130,164,164,/dataset/YouTubeFaces/frame_images_DB/Alanis_Morissette/1/1.183.jpg,Alanis_Morissette,186,69,64,64,/dataset/YouTubeFaces/frame_images_DB/Alanis_Morissette/2/2.1146.jpg,Alanis_Morissette,1,F,F,#6F503C,#81654F,2
222,80,83,83,/dataset/YouTubeFaces/frame_images_DB/Barbara_Boxer/4/4.770.jpg,Barbara_Boxer,175,86,68,68,/dataset/YouTubeFaces/frame_images_DB/Barbara_Boxer/5/5.829.jpg,Barbara_Boxer,1,F,F,#6F503C,#81654F,2
246,113,97,97,/dataset/YouTubeFaces/frame_images_DB/Eve_Ensler/0/0.1702.jpg,Eve_Ensler,144,45,34,34,/dataset/YouTubeFaces/frame_images_DB/Eve_Ensler/3/3.152.jpg,Eve_Ensler,1,F,F,#9D7A54,#6F503C,2
338,185,169,169,/dataset/YouTubeFaces/frame_images_DB/Laura_Bush/4/4.1249.jpg,Laura_Bush,189,114,73,73,/dataset/YouTubeFaces/frame_images_DB/Laura_Bush/5/5.181.jpg,Laura_Bush,1,F,F,#9D7A54,#81654F,2
218,165,89,89,/dataset/YouTubeFaces/frame_images_DB/Flavia_Pennetta/3/3.1052.jpg,Flavia_Pennetta,163,109,54,54,/dataset/YouTubeFaces/frame_images_DB/Flavia_Pennetta/5/5.1896.jpg,Flavia_Pennetta,1,F,F,#9D7A54,#6F503C,2
286,156,153,153,/dataset/YouTubeFaces/frame_images_DB/Mary_Matalin/1/1.1120.jpg,Mary_Matalin,253,78,74,74,/dataset/YouTubeFaces/frame_images_DB/Mary_Matalin/2/2.1586.jpg,Mary_Matalin,1,F,F,#81654F,#81654F,2
260,101,86,86,/dataset/YouTubeFaces/frame_images_DB/Elizabeth_Shue/0/0.984.jpg,Elizabeth_Shue,172,113,88,88,/dataset/YouTubeFaces/frame_images_DB/Elizabeth_Shue/2/2.989.jpg,Elizabeth_Shue,1,F,F,#81654F,#6F503C,2
236,178,79,79,/dataset/YouTubeFaces/frame_images_DB/Cameron_Diaz/2/2.1103.jpg,Cameron_Diaz,173,83,68,68,/dataset/YouTubeFaces/frame_images_DB/Cameron_Diaz/4/4.559.jpg,Cameron_Diaz,1,F,F,#BEA07E,#81654F,2
332,85,79,79,/dataset/YouTubeFaces/frame_images_DB/Maria_Bello/3/3.974.jpg,Maria_Bello,217,67,63,63,/dataset/YouTubeFaces/frame_images_DB/Maria_Bello/4/4.269.jpg,Maria_Bello,1,F,F,#9D7A54,#6F503C,2
258,105,126,126,/dataset/YouTubeFaces/frame_images_DB/Calista_Flockhart/0/0.306.jpg,Calista_Flockhart,173,142,133,133,/dataset/YouTubeFaces/frame_images_DB/Calista_Flockhart/1/1.346.jpg,Calista_Flockhart,1,F,F,#513B2E,#6F503C,2
168,68,49,49,/dataset/YouTubeFaces/frame_images_DB/Mary_Landrieu/2/2.980.jpg,Mary_Landrieu,155,82,48,48,/dataset/YouTubeFaces/frame_images_DB/Mary_Landrieu/5/5.1229.jpg,Mary_Landrieu,1,F,F,#9D7A54,#9D7A54,2
196,146,224,224,/dataset/YouTubeFaces/frame_images_DB/Emmy_Rossum/2/2.2094.jpg,Emmy_Rossum,157,103,131,131,/dataset/YouTubeFaces/frame_images_DB/Emmy_Rossum/3/3.1828.jpg,Emmy_Rossum,1,F,F,#81654F,#9D7A54,2
224,66,70,70,/dataset/YouTubeFaces/frame_images_DB/Ximena_Bohorquez/1/1.200.jpg,Ximena_Bohorquez,120,45,31,31,/dataset/YouTubeFaces/frame_images_DB/Ximena_Bohorquez/4/4.589.jpg,Ximena_Bohorquez,1,F,F,#513B2E,#81654F,2
189,112,139,139,/dataset/YouTubeFaces/frame_images_DB/Eliane_Karp/0/0.748.jpg,Eliane_Karp,154,102,82,82,/dataset/YouTubeFaces/frame_images_DB/Eliane_Karp/1/1.135.jpg,Eliane_Karp,1,F,F,#6F503C,#81654F,2
209,99,92,92,/dataset/YouTubeFaces/frame_images_DB/Emma_Thompson/2/2.492.jpg,Emma_Thompson,192,122,68,68,/dataset/YouTubeFaces/frame_images_DB/Emma_Thompson/4/4.1716.jpg,Emma_Thompson,1,F,F,#81654F,#6F503C,2
157,69,72,72,/dataset/YouTubeFaces/frame_images_DB/Cameron_Diaz/4/4.426.jpg,Cameron_Diaz,251,46,60,60,/dataset/YouTubeFaces/frame_images_DB/Cameron_Diaz/5/5.779.jpg,Cameron_Diaz,1,F,F,#81654F,#9D7A54,2
132,98,57,57,/dataset/YouTubeFaces/frame_images_DB/Yolanda_King/1/1.350.jpg,Yolanda_King,107,55,25,25,/dataset/YouTubeFaces/frame_images_DB/Yolanda_King/5/5.6646.jpg,Yolanda_King,1,F,F,#81654F,#9D7A54,2
136,115,101,101,/dataset/YouTubeFaces/frame_images_DB/Tara_Reid/0/0.1430.jpg,Tara_Reid,199,84,70,70,/dataset/YouTubeFaces/frame_images_DB/Tara_Reid/5/5.1261.jpg,Tara_Reid,1,F,F,#513B2E,#6F503C,2
137,84,50,50,/dataset/YouTubeFaces/frame_images_DB/Alma_Powell/0/0.1127.jpg,Alma_Powell,271,111,109,109,/dataset/YouTubeFaces/frame_images_DB/Alma_Powell/5/5.357.jpg,Alma_Powell,1,F,F,#9D7A54,#9D7A54,2
203,143,219,219,/dataset/YouTubeFaces/frame_images_DB/Emmy_Rossum/2/2.2110.jpg,Emmy_Rossum,290,112,101,101,/dataset/YouTubeFaces/frame_images_DB/Emmy_Rossum/5/5.2065.jpg,Emmy_Rossum,1,F,F,#81654F,#81654F,2
283,76,84,84,/dataset/YouTubeFaces/frame_images_DB/Kristin_Scott/4/4.81.jpg,Kristin_Scott,306,110,82,82,/dataset/YouTubeFaces/frame_images_DB/Kristin_Scott/5/5.1860.jpg,Kristin_Scott,1,F,F,#6F503C,#9D7A54,2
216,99,111,111,/dataset/YouTubeFaces/frame_images_DB/Mary_Robinson/2/2.145.jpg,Mary_Robinson,242,98,83,83,/dataset/YouTubeFaces/frame_images_DB/Mary_Robinson/4/4.1891.jpg,Mary_Robinson,1,F,F,#81654F,#81654F,2
136,137,172,172,/dataset/YouTubeFaces/frame_images_DB/Charlotte_Casiraghi/0/0.529.jpg,Charlotte_Casiraghi,152,97,153,153,/dataset/YouTubeFaces/frame_images_DB/Charlotte_Casiraghi/2/2.1212.jpg,Charlotte_Casiraghi,1,F,F,#BEA07E,#E7C1B8,2
156,80,58,58,/dataset/YouTubeFaces/frame_images_DB/Lisa_Marie_Presley/0/0.2068.jpg,Lisa_Marie_Presley,171,85,136,136,/dataset/YouTubeFaces/frame_images_DB/Lisa_Marie_Presley/2/2.1063.jpg,Lisa_Marie_Presley,1,F,F,#E7C1B8,#9D7A54,2
178,39,34,34,/dataset/YouTubeFaces/frame_images_DB/Alek_Wek/3/3.440.jpg,Alek_Wek,216,86,37,37,/dataset/YouTubeFaces/frame_images_DB/Alek_Wek/5/5.443.jpg,Alek_Wek,1,F,F,#513B2E,#6F503C,2
164,101,87,87,/dataset/YouTubeFaces/frame_images_DB/Imelda_Marcos/1/1.2617.jpg,Imelda_Marcos,125,98,80,80,/dataset/YouTubeFaces/frame_images_DB/Imelda_Marcos/3/3.1036.jpg,Imelda_Marcos,1,F,F,#81654F,#BEA07E,2
175,82,91,91,/dataset/YouTubeFaces/frame_images_DB/Hanan_Ashrawi/1/1.1104.jpg,Hanan_Ashrawi,244,94,93,93,/dataset/YouTubeFaces/frame_images_DB/Hanan_Ashrawi/2/2.1320.jpg,Hanan_Ashrawi,1,F,F,#81654F,#9D7A54,2
131,94,111,111,/dataset/YouTubeFaces/frame_images_DB/Elizabeth_Berkeley/4/4.1703.jpg,Elizabeth_Berkeley,125,102,87,87,/dataset/YouTubeFaces/frame_images_DB/Elizabeth_Berkeley/5/5.869.jpg,Elizabeth_Berkeley,1,F,F,#6F503C,#513B2E,2
117,142,83,83,/dataset/YouTubeFaces/frame_images_DB/Linda_Dano/0/0.103.jpg,Linda_Dano,225,152,156,156,/dataset/YouTubeFaces/frame_images_DB/Linda_Dano/5/5.1547.jpg,Linda_Dano,1,F,F,#81654F,#81654F,2
157,79,62,62,/dataset/YouTubeFaces/frame_images_DB/Elaine_Chao/1/1.638.jpg,Elaine_Chao,234,134,115,115,/dataset/YouTubeFaces/frame_images_DB/Elaine_Chao/5/5.439.jpg,Elaine_Chao,1,F,F,#E5C8A6,#9D7A54,2
216,85,155,155,/dataset/YouTubeFaces/frame_images_DB/Erin_Hershey_Presley/1/1.302.jpg,Erin_Hershey_Presley,103,104,111,111,/dataset/YouTubeFaces/frame_images_DB/Erin_Hershey_Presley/3/3.2020.jpg,Erin_Hershey_Presley,1,F,F,#9D7A54,#9D7A54,2
211,151,94,94,/dataset/YouTubeFaces/frame_images_DB/Margaret_Thatcher/1/1.902.jpg,Margaret_Thatcher,137,169,44,44,/dataset/YouTubeFaces/frame_images_DB/Margaret_Thatcher/5/5.1713.jpg,Margaret_Thatcher,1,F,F,#9D7A54,#81654F,2
208,60,71,71,/dataset/YouTubeFaces/frame_images_DB/Kirsten_Dunst/2/2.462.jpg,Kirsten_Dunst,134,86,78,78,/dataset/YouTubeFaces/frame_images_DB/Kirsten_Dunst/3/3.963.jpg,Kirsten_Dunst,1,F,F,#6F503C,#9D7A54,2
225,103,73,73,/dataset/YouTubeFaces/frame_images_DB/Estelle_Morris/2/2.508.jpg,Estelle_Morris,195,87,86,86,/dataset/YouTubeFaces/frame_images_DB/Estelle_Morris/3/3.438.jpg,Estelle_Morris,1,F,F,#9D7A54,#81654F,2
212,43,51,51,/dataset/YouTubeFaces/frame_images_DB/Isabelle_Huppert/2/2.6054.jpg,Isabelle_Huppert,168,138,108,108,/dataset/YouTubeFaces/frame_images_DB/Isabelle_Huppert/3/3.246.jpg,Isabelle_Huppert,1,F,F,#81654F,#81654F,2
124,88,100,100,/dataset/YouTubeFaces/frame_images_DB/Natalia_Vodonova/1/1.1424.jpg,Natalia_Vodonova,221,115,172,172,/dataset/YouTubeFaces/frame_images_DB/Natalia_Vodonova/2/2.2101.jpg,Natalia_Vodonova,1,F,F,#9D7A54,#9D7A54,2
298,113,111,111,/dataset/YouTubeFaces/frame_images_DB/Alicia_Silverstone/1/1.2125.jpg,Alicia_Silverstone,167,81,66,66,/dataset/YouTubeFaces/frame_images_DB/Alicia_Silverstone/2/2.6428.jpg,Alicia_Silverstone,1,F,F,#6F503C,#6F503C,2
137,70,53,53,/dataset/YouTubeFaces/frame_images_DB/Sara_Silverman/1/1.1133.jpg,Sara_Silverman,222,91,89,89,/dataset/YouTubeFaces/frame_images_DB/Sara_Silverman/4/4.77.jpg,Sara_Silverman,1,F,F,#9D7A54,#81654F,2
258,73,60,60,/dataset/YouTubeFaces/frame_images_DB/Sasha_Cohen/2/2.1892.jpg,Sasha_Cohen,296,82,79,79,/dataset/YouTubeFaces/frame_images_DB/Sasha_Cohen/5/5.1919.jpg,Sasha_Cohen,1,F,F,#81654F,#81654F,2
155,73,54,54,/dataset/YouTubeFaces/frame_images_DB/Talisa_Soto/1/1.2110.jpg,Talisa_Soto,290,98,137,137,/dataset/YouTubeFaces/frame_images_DB/Talisa_Soto/3/3.2104.jpg,Talisa_Soto,1,F,F,#6F503C,#513B2E,2
159,74,48,48,/dataset/YouTubeFaces/frame_images_DB/Eve_Ensler/2/2.2085.jpg,Eve_Ensler,157,70,43,43,/dataset/YouTubeFaces/frame_images_DB/Eve_Ensler/5/5.1530.jpg,Eve_Ensler,1,F,F,#81654F,#6F503C,2
120,88,90,90,/dataset/YouTubeFaces/frame_images_DB/Kate_Winslet/0/0.500.jpg,Kate_Winslet,224,86,71,71,/dataset/YouTubeFaces/frame_images_DB/Kate_Winslet/1/1.453.jpg,Kate_Winslet,1,F,F,#9D7A54,#81654F,2
253,91,63,63,/dataset/YouTubeFaces/frame_images_DB/Alma_Powell/1/1.592.jpg,Alma_Powell,86,75,50,50,/dataset/YouTubeFaces/frame_images_DB/Alma_Powell/2/2.209.jpg,Alma_Powell,1,F,F,#6F503C,#81654F,2
241,102,82,82,/dataset/YouTubeFaces/frame_images_DB/Mary_Robinson/4/4.1887.jpg,Mary_Robinson,167,101,61,61,/dataset/YouTubeFaces/frame_images_DB/Mary_Robinson/5/5.3922.jpg,Mary_Robinson,1,F,F,#81654F,#9D7A54,2
259,168,97,97,/dataset/YouTubeFaces/frame_images_DB/Tessa_Jowell/0/0.901.jpg,Tessa_Jowell,235,136,57,57,/dataset/YouTubeFaces/frame_images_DB/Tessa_Jowell/2/2.1052.jpg,Tessa_Jowell,1,F,F,#81654F,#9D7A54,2
105,174,142,142,/dataset/YouTubeFaces/frame_images_DB/Reese_Witherspoon/0/0.2044.jpg,Reese_Witherspoon,255,172,166,166,/dataset/YouTubeFaces/frame_images_DB/Reese_Witherspoon/4/4.599.jpg,Reese_Witherspoon,1,F,F,#9D7A54,#6F503C,2
229,110,105,105,/dataset/YouTubeFaces/frame_images_DB/Maria_Callas/1/1.1315.jpg,Maria_Callas,240,116,91,91,/dataset/YouTubeFaces/frame_images_DB/Maria_Callas/2/2.3523.jpg,Maria_Callas,1,F,F,#81654F,#BEA07E,2
206,129,89,89,/dataset/YouTubeFaces/frame_images_DB/Margaret_Thatcher/1/1.922.jpg,Margaret_Thatcher,200,155,124,124,/dataset/YouTubeFaces/frame_images_DB/Margaret_Thatcher/3/3.650.jpg,Margaret_Thatcher,1,F,F,#9D7A54,#BEA07E,2
193,74,76,76,/dataset/YouTubeFaces/frame_images_DB/Natalie_Stewart/2/2.3211.jpg,Natalie_Stewart,308,154,163,163,/dataset/YouTubeFaces/frame_images_DB/Natalie_Stewart/3/3.1992.jpg,Natalie_Stewart,1,F,F,#81654F,#81654F,2
244,132,151,151,/dataset/YouTubeFaces/frame_images_DB/Louisa_Baileche/0/0.655.jpg,Louisa_Baileche,232,122,106,106,/dataset/YouTubeFaces/frame_images_DB/Louisa_Baileche/2/2.2572.jpg,Louisa_Baileche,1,F,F,#6F503C,#6F503C,2
164,105,161,161,/dataset/YouTubeFaces/frame_images_DB/Carey_Lowell/0/0.178.jpg,Carey_Lowell,111,88,79,79,/dataset/YouTubeFaces/frame_images_DB/Carey_Lowell/3/3.33.jpg,Carey_Lowell,1,F,F,#9D7A54,#81654F,2
169,91,36,36,/dataset/YouTubeFaces/frame_images_DB/Chadha_Gurinder/4/4.70.jpg,Chadha_Gurinder,140,119,66,66,/dataset/YouTubeFaces/frame_images_DB/Chadha_Gurinder/5/5.602.jpg,Chadha_Gurinder,1,F,F,#81654F,#513B2E,2
245,98,81,81,/dataset/YouTubeFaces/frame_images_DB/Angela_Bassett/3/3.794.jpg,Angela_Bassett,148,75,85,85,/dataset/YouTubeFaces/frame_images_DB/Angela_Bassett/4/4.1183.jpg,Angela_Bassett,1,F,F,#81654F,#6F503C,2
137,75,67,67,/dataset/YouTubeFaces/frame_images_DB/Sarah_Hughes/1/1.1309.jpg,Sarah_Hughes,128,85,83,83,/dataset/YouTubeFaces/frame_images_DB/Sarah_Hughes/2/2.822.jpg,Sarah_Hughes,1,F,F,#81654F,#9D7A54,2
184,69,26,26,/dataset/YouTubeFaces/frame_images_DB/Martha_Stewart/0/0.2747.jpg,Martha_Stewart,228,58,29,29,/dataset/YouTubeFaces/frame_images_DB/Martha_Stewart/3/3.734.jpg,Martha_Stewart,1,F,F,#6F503C,#6F503C,2
203,148,120,120,/dataset/YouTubeFaces/frame_images_DB/Margaret_Thatcher/3/3.564.jpg,Margaret_Thatcher,197,138,75,75,/dataset/YouTubeFaces/frame_images_DB/Margaret_Thatcher/5/5.1764.jpg,Margaret_Thatcher,1,F,F,#BEA07E,#81654F,2
135,137,139,139,/dataset/YouTubeFaces/frame_images_DB/Linda_Sanchez/0/0.1383.jpg,Linda_Sanchez,169,102,90,90,/dataset/YouTubeFaces/frame_images_DB/Linda_Sanchez/1/1.281.jpg,Linda_Sanchez,1,F,F,#9D7A54,#81654F,2
294,65,80,80,/dataset/YouTubeFaces/frame_images_DB/Jane_Krakowski/1/1.3460.jpg,Jane_Krakowski,176,105,104,104,/dataset/YouTubeFaces/frame_images_DB/Jane_Krakowski/4/4.1866.jpg,Jane_Krakowski,1,F,F,#6F503C,#9D7A54,2
142,97,66,66,/dataset/YouTubeFaces/frame_images_DB/Laura_Bush/1/1.1104.jpg,Laura_Bush,139,120,68,68,/dataset/YouTubeFaces/frame_images_DB/Laura_Bush/2/2.566.jpg,Laura_Bush,1,F,F,#81654F,#6F503C,2
121,104,81,81,/dataset/YouTubeFaces/frame_images_DB/Nikki_McKibbin/0/0.386.jpg,Nikki_McKibbin,120,120,160,160,/dataset/YouTubeFaces/frame_images_DB/Nikki_McKibbin/5/5.270.jpg,Nikki_McKibbin,1,F,F,#81654F,#9D7A54,2
158,85,77,77,/dataset/YouTubeFaces/frame_images_DB/Mary_Landrieu/0/0.1436.jpg,Mary_Landrieu,164,67,51,51,/dataset/YouTubeFaces/frame_images_DB/Mary_Landrieu/2/2.1191.jpg,Mary_Landrieu,1,F,F,#9D7A54,#9D7A54,2
274,72,125,125,/dataset/YouTubeFaces/frame_images_DB/Norah_Jones/1/1.2429.jpg,Norah_Jones,188,120,110,110,/dataset/YouTubeFaces/frame_images_DB/Norah_Jones/5/5.945.jpg,Norah_Jones,1,F,F,#9D7A54,#9D7A54,2
225,93,148,148,/dataset/YouTubeFaces/frame_images_DB/Zhang_Ziyi/1/1.1025.jpg,Zhang_Ziyi,189,108,155,155,/dataset/YouTubeFaces/frame_images_DB/Zhang_Ziyi/2/2.171.jpg,Zhang_Ziyi,1,F,F,#6F503C,#513B2E,2
145,117,97,97,/dataset/YouTubeFaces/frame_images_DB/Alison_Lohman/4/4.768.jpg,Alison_Lohman,148,192,106,106,/dataset/YouTubeFaces/frame_images_DB/Alison_Lohman/5/5.3203.jpg,Alison_Lohman,1,F,F,#6F503C,#6F503C,2
140,82,54,54,/dataset/YouTubeFaces/frame_images_DB/Alma_Powell/0/0.1154.jpg,Alma_Powell,82,78,50,50,/dataset/YouTubeFaces/frame_images_DB/Alma_Powell/2/2.216.jpg,Alma_Powell,1,F,F,#9D7A54,#81654F,2
184,102,85,85,/dataset/YouTubeFaces/frame_images_DB/Cherie_Blair/0/0.1388.jpg,Cherie_Blair,144,99,97,97,/dataset/YouTubeFaces/frame_images_DB/Cherie_Blair/2/2.73.jpg,Cherie_Blair,1,F,F,#81654F,#81654F,2
